circbaseID	logFC	AveExpr	t	P.Value	adj.P.Val	B	GeneSymbol	experiment
hsa_circ_0000102	-1.89963155766666	7.80514318744444	-14.2354577373629	6.54503752987157e-07	0.000798249139736962	6.63656652577123	AKNAD1	CLONE1
hsa_circ_0000102	-0.66036147	5.6474915994	-4.03538685865783	0.00538474013604144	0.0227543840689326	-2.17517681687113	AKNAD1	GSE113153
hsa_circ_0000102	-1.133756454	7.80514318744444	-8.4961433811953	3.05365579148731e-05	0.0142648718850389	2.97032849678879	AKNAD1	CLONE9
hsa_circ_0000128	1.90660776033333	9.10370579866667	5.68719399507574	0.000483349512168174	0.0117459031740464	0.206008757069139	SCNM1	CLONE1
hsa_circ_0000128	0.811417909799996	9.5899709827	3.8739802134453	0.00658303135187458	0.0255586456403118	-2.38740849432931	SCNM1	GSE113153
hsa_circ_0000129	1.97096702666667	10.1969335097778	8.00725516119939	4.66691595226101e-05	0.00367218539888796	2.60576964420841	VPS72	CLONE1
hsa_circ_0000129	1.074985734	10.821146963	4.6523460508337	0.00258981728827514	0.0153160148089973	-1.40079114857039	VPS72	GSE113153
hsa_circ_0014306	0.961049988200001	9.9845150787	4.94189754768425	0.00187234017079946	0.0131670300667089	-1.05770405779838	INTS3	GSE113153
hsa_circ_0014306	0.931746399	9.32601521911111	3.95691515126847	0.00430500924871695	0.0393295648312091	-2.0739400463479	INTS3	CLONE1
hsa_circ_0000141	-2.0602887232	8.3032030518	-4.08440824754122	0.00506992608655307	0.0219769484196318	-2.11149770501331	SMG5	GSE113153
hsa_circ_0000141	-2.660152997	9.84350966322222	-6.19681249230882	0.000274518024230575	0.00883984278025651	0.793008858719253	SMG5	CLONE1
hsa_circ_0000020	1.089972316	6.452017988	7.19094830420265	0.000215446472959207	0.00721101217264702	1.20199900084727	DDI2	GSE113153
hsa_circ_0000020	0.555571090999997	5.76839211355556	4.44455215762477	0.0022245389927895	0.0267696138732821	-1.38598919303457	DDI2	CLONE1
