Row.names	logFC	AveExpr	t	P.Value	adj.P.Val	B	circRNA	Alias	GeneSymbol
ASCRP3000004	0.588913854999999	5.83690563566667	5.01919795679232	0.00106868822747772	0.0179947046714368	-0.620780831592215	hsa_circRNA_407121		MTSS1
ASCRP3000010	-0.972795823000002	6.25024184777778	-5.9913903958075	0.000343476734714144	0.00984400950285258	0.560810017031225	hsa_circRNA_400114		RERE
ASCRP3000018	0.769117554666666	5.87240374688889	3.67166686860335	0.00643711002624693	0.0492216947696641	-2.49159623045262	hsa_circRNA_000542	hsa_circ_0000542	ARID4A
ASCRP3000038	-1.49721044266667	6.72935976488889	-5.73623995522814	0.000457077839342138	0.0115536489079307	0.264112852453245	hsa_circRNA_092547	hsa_circ_0001445	SMARCA5
ASCRP3000044	0.664414479333335	5.62597066888889	5.1308557486649	0.000931936115491528	0.0165928844504577	-0.477919893522748	hsa_circRNA_006759	hsa_circ_0006759	WDPCP
ASCRP3000068	-1.79264385166666	6.69868064311111	-16.0466286431687	2.61537806747786e-07	0.000425304063406359	7.40381241432844	hsa_circRNA_060539	hsa_circ_0060539	SDC4
ASCRP3000076	-0.858540223333335	6.40862159766667	-4.84939955262193	0.00132056521287363	0.0201324293468876	-0.841662186352967	hsa_circRNA_006131	hsa_circ_0006131	SYNCRIP
ASCRP3000106	1.60366341	14.0481280844444	4.72416797064535	0.00154776148915793	0.0218229896672167	-1.00738219714454	hsa_circRNA_026134	hsa_circ_0026134	TUBA1C
ASCRP3000122	0.86912307666667	10.9989651744444	4.89844810075629	0.00124172648468051	0.019614373598193	-0.777406792200517	hsa_circRNA_404317		KAL1
ASCRP3000158	-0.867314304000001	6.31498446066667	-6.31759725713541	0.000241205576646879	0.00837524132150748	0.926821471713478	hsa_circRNA_100885	hsa_circ_0004596	RAB6A
ASCRP3000189	-0.700837170999997	6.16621676322222	-3.84298760511706	0.00504833863933273	0.0428816196089634	-2.2394844104721	hsa_circRNA_016681	hsa_circ_0016681	TMEM63A
ASCRP3000193	-0.771157888333331	6.39690043288889	-6.46782727094328	0.000205853244133888	0.00782455318306954	1.09050336712227	hsa_circRNA_002961	hsa_circ_0002961	MTDH
ASCRP3000201	0.579536494	6.28041371288889	4.26094536737775	0.00284060642980486	0.0303728144320605	-1.64097248236226	hsa_circRNA_005828	hsa_circ_0005828	WAPAL
ASCRP3000202	-0.892509194666664	5.750198679	-6.32716040829446	0.000238765410932357	0.00835988235859445	0.937331345217759	hsa_circRNA_102469	hsa_circ_0008432	TPM4
